age,education,education-num,marital-status,relationship,race,gender,capital-gain,capital-loss,hours-per-week
28.55154,6.0,6.517608,4.0,3.0,1.0,1.0,0.0,0.0,31.260073
37.174416,6.0,11.244114,4.0,3.0,4.0,1.0,0.0,0.0,42.734703
29.314753,6.0,7.0443015,4.0,3.0,4.0,0.0,0.0,0.0,33.714806
33.702385,6.0,9.596428,4.0,3.0,4.0,1.0,0.0,0.0,37.430595
31.12383,6.0,7.7672744,4.0,3.0,4.0,1.0,0.0,0.0,35.935028
27.901829,1.0,2.7061965,3.0,1.0,4.0,0.0,4306.4653,0.0,32.82254
39.535004,3.0,8.851252,4.0,0.0,4.0,1.0,834.11444,992.0447,56.993713
34.194904,6.0,10.044981,4.0,3.0,4.0,1.0,0.0,0.0,38.75402
25.582819,13.0,5.3969216,0.0,1.0,4.0,0.0,0.0,0.0,25.076689
32.533752,6.0,8.379856,4.0,3.0,4.0,1.0,0.0,0.0,37.87094
19.059856,1.0,0.0,3.0,1.0,4.0,1.0,7334.1626,0.0,28.876211
35.55876,6.0,10.380989,4.0,3.0,4.0,1.0,0.0,0.0,40.143845
28.394182,7.0,5.4623814,0.0,1.0,4.0,0.0,0.0,0.0,25.686361
33.114914,6.0,9.490435,4.0,3.0,4.0,1.0,0.0,0.0,37.081985
35.048904,6.0,10.381932,4.0,3.0,4.0,0.0,0.0,0.0,39.87703
31.347387,6.0,7.4753165,4.0,3.0,4.0,0.0,0.0,0.0,35.348747
34.652035,6.0,9.685922,4.0,3.0,4.0,1.0,0.0,0.0,37.79577
30.885141,6.0,7.6546426,4.0,3.0,4.0,0.0,0.0,0.0,35.57537
36.57921,6.0,10.977642,4.0,3.0,4.0,1.0,0.0,0.0,41.85372
31.49467,6.0,8.054276,4.0,3.0,4.0,1.0,0.0,0.0,36.715225
35.12548,6.0,10.552946,4.0,3.0,4.0,0.0,0.0,0.0,40.252975
30.883635,6.0,7.675281,4.0,3.0,4.0,1.0,0.0,0.0,35.908035
31.410881,6.0,8.023721,4.0,3.0,4.0,0.0,0.0,0.0,36.672073
28.822208,6.0,6.867636,4.0,3.0,4.0,0.0,0.0,0.0,33.069145
38.519863,3.0,8.457518,6.0,0.0,4.0,0.0,334.76926,1162.4772,60.87413
29.252882,6.0,7.016618,4.0,3.0,4.0,0.0,0.0,0.0,33.710434
