X1,X2,X3,X4,X5,X6,X7
0.2592581,-0.5596471,1.1973547,-4.624758,0.17835268,56.150654,43.909145
0.7985978,1.0222687,0.60491925,0.063626006,0.40718648,53.888695,46.103603
0.21701007,-0.17824896,1.3892893,-2.6293309,0.16771603,39.023792,60.985966
0.8103256,0.552105,0.9887621,-1.7103907,0.5302934,53.650444,46.34656
-0.5268646,2.3122635,-1.2951962,5.0082226,0.8124959,48.4214,51.618618
0.7563737,0.607455,0.10030626,1.4549584,0.6794986,54.54877,45.497158
0.7921123,0.12926942,0.34568846,0.7651985,0.6306503,51.86966,48.153778
0.84514177,0.9694515,0.69266,-0.9133046,0.64564645,60.306114,39.69378
0.6602554,1.690291,-0.34767282,2.3124006,0.63547146,39.12805,60.87195
0.7755231,1.3978032,0.08395366,1.1276876,0.70049834,57.033253,43.033627
0.7683637,0.8284955,0.8562168,-0.90057224,0.5133979,43.678993,56.321007
0.7336078,0.73920906,0.10533063,1.2541637,0.6235721,46.447487,53.572273
0.7470685,0.5636027,0.13139133,1.2516197,0.6337988,48.750843,51.25269
0.82733274,0.64332396,1.0843297,-1.1264802,0.6158001,63.298317,36.75179
0.69569516,1.2608296,0.21200012,0.8827887,0.61547965,47.04685,52.95315
0.6152116,2.2408016,-1.1567214,3.941673,0.76244867,43.671795,56.34464
-0.5699012,0.79788905,0.8988875,-0.7357191,0.5867465,55.857567,44.182888
0.75313675,0.65419453,1.0537568,-1.4109522,0.52097964,48.79172,51.20828
0.7076863,0.13936612,-0.36661166,2.5566247,0.67043,44.862274,55.122944
0.8647647,1.7367014,-0.30586255,2.6115928,0.85532415,72.70663,27.305748
-0.096050486,0.8906186,0.7450672,-0.78921896,0.48626077,37.065018,62.908855
0.8294911,-0.055381928,0.21008728,1.4604638,0.74151456,65.370384,34.68539
0.7260917,1.459938,0.0022476763,1.5166647,-0.17441593,44.29866,55.70278
0.74638426,1.7789098,-0.4095208,2.8491035,0.71457183,50.276115,49.758183
0.6749391,1.3420002,0.101098344,1.0614612,0.59184635,41.36078,58.63922
0.5291309,1.1984297,0.37219888,0.71660393,0.6371577,53.35845,46.6876
0.21334098,-0.20627661,1.0218326,-2.9507992,0.20749466,41.853996,58.158443
0.8252009,0.9908846,0.65291893,0.08515586,0.64660597,60.17865,39.830223
